statenum,states,hashtag_text
9,"Iowa,Illinois,Wisconsin,Nebraska,Texas,North Carolina,Missouri,Arizona,Tennessee",iacaucus
9,"Florida,Colorado,West Virginia,Illinois,Wisconsin,Iowa,New York,Michigan,North Carolina",Iowa
9,"New York,Ohio,New Jersey,Connecticut,Nebraska,Rhode Island,Tennessee,Kentucky,Oregon",jobs
9,"New York,Arizona,California,Maryland,Nebraska,West Virginia,Indiana,Florida,Colorado",MLK
9,"Nebraska,Iowa,Wisconsin,Illinois,Virginia,Massachusetts,Tennessee,California,Georgia",NeverTrump
9,"Florida,Texas,Colorado,Tennessee,Nebraska,Maine,Missouri,Michigan,Wyoming",Obamacare
9,"Rhode Island,Tennessee,North Carolina,New Mexico,Hawaii,Kentucky,Missouri,Florida,West Virginia",OnThisDay
9,"Maryland,Arizona,Colorado,Tennessee,Washington,Mississippi,New Mexico,Indiana,Iowa",SineDie
9,"Rhode Island,Tennessee,Missouri,North Carolina,Indiana,New Mexico,Florida,Idaho,Massachusetts",StopHillary
8,"Colorado,Washington,Nebraska,Florida,Michigan,Wyoming,Pennsylvania,Wisconsin",climatechange
8,"West Virginia,Idaho,Florida,Nebraska,Nevada,Tennessee,Missouri,Illinois",DemTownHall
8,"Idaho,Pennsylvania,Nebraska,Hawaii,Indiana,Ohio,Oregon,Tennessee",HappyNewYear
8,"Indiana,Tennessee,South Carolina,Maryland,North Carolina,Ohio,New Jersey,Florida",ICYMI
8,"Pennsylvania,South Dakota,New Jersey,New York,Arizona,Washington,California,Oregon",minimumwage
8,"Ohio,Wisconsin,Indiana,Mississippi,Arizona,Florida,California,Pennsylvania",MothersDay
8,"Ohio,North Carolina,Kentucky,Indiana,Pennsylvania,New Mexico,Mississippi,Florida",PresidentsDay
8,"Colorado,Florida,Arizona,West Virginia,Minnesota,Nevada,Louisiana,Ohio",priorities
8,"Wisconsin,Colorado,New Hampshire,Florida,North Carolina,Ohio,Iowa,Missouri",TaxDay
8,"Florida,Michigan,Nevada,Nebraska,North Carolina,South Dakota,Louisiana,Indiana",ThanksObama
7,"Florida,Massachusetts,Pennsylvania,Ohio,Michigan,New York,Nebraska",BlackHistoryMonth
7,"New Hampshire,Massachusetts,North Carolina,Missouri,Tennessee,Wisconsin,Vermont",FITN
7,"Michigan,Pennsylvania,Florida,Virginia,Ohio,Wisconsin,Indiana",Flint
7,"Michigan,Colorado,Virginia,Georgia,Pennsylvania,Wisconsin,Illinois",FlintWaterCrisis
7,"Ohio,Colorado,Texas,New Mexico,Arizona,Massachusetts,Mississippi",Scalia
7,"Wisconsin,Rhode Island,Kansas,New Mexico,Michigan,Maryland,Missouri",SunshineWeek
7,"Pennsylvania,Nevada,Ohio,Arizona,Tennessee,Wisconsin,North Carolina",TeacherAppreciationDay
7,"Oregon,Ohio,Virginia,Nebraska,Pennsylvania,Nevada,West Virginia",VOTE
7,"Michigan,South Carolina,Florida,North Carolina,Illinois,New Jersey,Wisconsin",WHCD
6,"Colorado,Ohio,Maryland,Michigan,Arizona,California",1u
6,"Tennessee,Louisiana,South Carolina,Idaho,New Mexico,Colorado",2A
6,"Arizona,New Mexico,Wyoming,Ohio,Florida,Tennessee",abortion
6,"Texas,Wisconsin,Iowa,New Mexico,Rhode Island,Ohio",APracecall
6,"Idaho,Texas,Florida,Wisconsin,New Hampshire,Pennsylvania",CNNDebate
6,"Texas,Hawaii,Nebraska,North Carolina,Alabama,Wisconsin",Decision2016
6,"Texas,Tennessee,Wisconsin,Michigan,Oregon,Idaho",GOPTownHall
6,"Connecticut,Florida,Nebraska,Rhode Island,Louisiana,North Carolina",ImWithHer
6,"Michigan,Colorado,Alabama,Pennsylvania,Florida,Tennessee",InternationalWomensDay
6,"West Virginia,Colorado,Florida,North Carolina,Nebraska,Michigan",MayThe4thBeWithYou
6,"New York,North Carolina,Nebraska,South Dakota,Texas,Wisconsin",NYPrimary
6,"Ohio,Alaska,Tennessee,Michigan,Arizona,Missouri",PlannedParenthood
6,"New Jersey,Ohio,Indiana,Arizona,Texas,Oregon",Powerball
6,"Nebraska,Ohio,Illinois,Florida,Delaware,Rhode Island",PrimaryDay
6,"Florida,Wisconsin,Nevada,Nebraska,South Dakota,Virginia",progress
6,"Missouri,Indiana,Tennessee,Kentucky,Ohio,Alaska",ProLife
6,"Arizona,Florida,Georgia,Maine,Michigan,Colorado",Republican
6,"Texas,South Carolina,Florida,Idaho,Tennessee,Illinois",SCPrimary
6,"Michigan,Wisconsin,New Hampshire,Arizona,Indiana,Illinois",SOTS
6,"Maryland,Wisconsin,Colorado,Massachusetts,California,Michigan",StateoftheState
6,"Colorado,Michigan,North Carolina,Oregon,Idaho,Florida",SuperBowl
6,"Colorado,Missouri,Tennessee,Kentucky,New York,Arizona",tcot
6,"Maine,Arizona,Louisiana,Wyoming,Missouri,Maryland",truth
6,"Missouri,Wisconsin,Colorado,Texas,West Virginia,Pennsylvania",VoterID
5,"Missouri,Colorado,South Carolina,Iowa,Nevada",caucus
5,"Ohio,Nebraska,Colorado,Michigan,Tennessee",Democrats
5,"Colorado,Washington,Wyoming,Ohio,New Mexico",energy
5,"Nebraska,Missouri,Wisconsin,North Carolina,Mississippi",GoVote
5,"Washington,Wyoming,Rhode Island,Colorado,Massachusetts",guns
5,"Vermont,Wyoming,Alaska,Pennsylvania,Florida",heroin
5,"Florida,Colorado,Alabama,Nevada,New York",IWD2016
5,"Washington,Missouri,South Carolina,Vermont,Pennsylvania",journalism
