statenum,states,hashtag_text
2,"Wisconsin,Nebraska",ObamaAndKids
2,"Ohio,Michigan",Ohio
2,"Ohio,Wisconsin",OHSen
2,"New Hampshire,Massachusetts",OneBostonDay
2,"Maryland,Rhode Island",OpenForBusiness
2,"Colorado,Ohio",openingday
2,"Wyoming,Vermont",opioids
2,"Massachusetts,Pennsylvania",Oscars2016
2,"Connecticut,Alaska",ouch
2,"Pennsylvania,Colorado",PA
2,"Virginia,Connecticut",PantsOnFire
2,"Wyoming,Arizona",partylikeajournalist
2,"Colorado,Washington",PartyOfNo
2,"Ohio,Louisiana",Passover
2,"Rhode Island,Colorado",Politics
2,"Mississippi,Louisiana",POTUS2016
2,"Colorado,Rhode Island",primary
2,"Colorado,Wyoming",publiclands
2,"Utah,Alaska",really
2,"Ohio,Michigan",RealTalk
2,"Wisconsin,Washington",Reform
2,"South Carolina,Arizona",refugees
2,"West Virginia,Rhode Island",RememberInNovember
2,"Oregon,New York",reprohealth
2,"Texas,Idaho",republicandebate
2,"Alaska,South Dakota",Respect
2,"Alabama,Nebraska",RestoreTheVote
2,"Indiana,West Virginia",RFRA
2,"California,Colorado",RightToDie
2,"Michigan,Wisconsin",RightToWork
2,"New York,Idaho",RIPNancyReagan
2,"Tennessee,Michigan",RNC2016
2,"Ohio,Colorado",RoevWade
2,"Texas,Wisconsin",s
2,"Alaska,Louisiana",sad
2,"Colorado,California",SB
2,"Kentucky,West Virginia",SB10
2,"Kentucky,Colorado",SB104
2,"Kentucky,Colorado",SB117
2,"Kentucky,Colorado",SB130
2,"Kentucky,Colorado",SB134
2,"Kentucky,Colorado",SB138
2,"Colorado,Connecticut",SB147
2,"Colorado,Kentucky",SB151
2,"Kentucky,Colorado",SB152
2,"Alaska,Kentucky",SB153
2,"Kentucky,Colorado",SB154
2,"Alaska,Pennsylvania",SB166
2,"Colorado,Kentucky",SB17
2,"Kentucky,Alaska",SB174
2,"Kentucky,Colorado",SB178
2,"Kentucky,Colorado",SB180
2,"Alaska,Kentucky",SB191
2,"Kentucky,Colorado",SB193
2,"Colorado,Kentucky",SB196
2,"Kentucky,Alaska",SB200
2,"Kentucky,Colorado",SB21
2,"Kentucky,Colorado",SB216
2,"Kentucky,Ohio",SB224
2,"Alaska,Kentucky",SB23
2,"Ohio,Kentucky",SB298
2,"Colorado,Kentucky",SB35
2,"Kentucky,Utah",SB54
2,"West Virginia,Kentucky",SB6
2,"Colorado,Kentucky",SB67
2,"Kentucky,Colorado",SB7
2,"Kentucky,Colorado",SB72
2,"Kentucky,Wyoming",SB73
2,"Kentucky,Colorado",SB74
2,"Kentucky,Alaska",SB8
2,"Colorado,Kentucky",SB81
2,"Colorado,Kentucky",sb83
2,"Alaska,Kentucky",SB89
2,"Alaska,Kentucky",SB91
2,"Kentucky,Colorado",SB97
2,"North Carolina,Missouri",schoolchoiceweek
2,"New York,Colorado",schools
2,"South Carolina,North Carolina",sctweets
2,"California,Florida",sd32
2,"Mississippi,Indiana",SecondAmendment
2,"Arizona,Tennessee",Senator
2,"Michigan,Missouri",ShowMeState
2,"Colorado,Ohio",smallbusiness
2,"Arizona,Indiana",SNAP
2,"Wyoming,Rhode Island",snow
2,"New Jersey,North Carolina",SouthCarolinaPrimary
2,"California,Louisiana",specialsession
2,"Pennsylvania,Connecticut",Spotlight
2,"Massachusetts,Pennsylvania",SpotlightMovie
2,"Pennsylvania,Michigan",springforward
2,"Colorado,Maine",StarWarsDay
2,"North Carolina,Delaware",StateoftheUnion
2,"Wisconsin,Maryland",staytuned
2,"Alaska,Rhode Island",sun
2,"Arizona,Ohio",supremecourt
2,"Texas,Iowa",SXSW
2,"Indiana,Michigan",tampontax
2,"New York,Rhode Island",taxdollars
2,"Wyoming,California",teaparty
2,"Colorado,Illinois",ThankYouPeyton
2,"Massachusetts,Michigan",TIME100
2,"Michigan,Washington",transgender
2,"North Carolina,Nevada",TrumpTrain
2,"Michigan,West Virginia",unions
2,"Florida,South Dakota",UnivisionDebate
2,"Utah,Wyoming",utpol
2,"Virginia,Nebraska",Va
2,"California,Texas",vaccine
2,"Virginia,North Carolina",VAprimary
2,"New York,Illinois",verizonstrike
2,"Kansas,South Carolina",Villanova
2,"Nebraska,Wisconsin",VoterSuppression
2,"Colorado,Missouri",vp
2,"Vermont,Rhode Island",VT
2,"Colorado,Rhode Island",WarOnWomen
2,"Ohio,Arizona",water
2,"North Carolina,Virginia",WeAreNotThis
2,"Florida,Alabama",WHScienceFair
2,"Wisconsin,Colorado",Win
2,"Wisconsin,Washington",winning
2,"Wisconsin,Missouri",WIPrimary
2,"Wisconsin,Michigan",Wisconsin
2,"Pennsylvania,Illinois",wmata
2,"Nebraska,Pennsylvania",WomanCard
2,"Florida,Michigan",WorldWaterDay
2,"Wyoming,Michigan",Wyoming
2,"Connecticut,Arizona",YourVoice
1,"South Dakota",100Eyes
1,Pennsylvania,100PAFarmShow
1,Alaska,12MonthBirthControl
1,Arizona,12News
1,Ohio,131stGA
1,Nebraska,13Hours
1,Nebraska,149andgoingstrong
1,"New York",15minwage
1,Mississippi,19Trillion
1,Indiana,1in
1,Nevada,1monthtocaucus
1,Idaho,1percentcandidate
1,Tennessee,1stDay
1,Virginia,1uMLK
1,"New York",2016budgetwatch
1,Pennsylvania,2016butterscukpture
1,Pennsylvania,2016buttersculpture
1,Louisiana,2016Caucus
1,Hawaii,2016LincolnDayDinner
1,Nebraska,2016Scorecard
1,Indiana,2016SpringDinner
1,Texas,2016tx
1,Utah,2016UTCaucus
1,Alabama,20millionAndCounting
1,Tennessee,23women
1,"New Mexico",2moredays
1,Indiana,2ndAmend
1,"South Carolina",30for30
1,Pennsylvania,30print
1,Michigan,313Day
1,Arizona,31votes
1,"Rhode Island",38Studios
1,Indiana,3toTweet
1,Colorado,4H
1,Florida,4PublicEd
1,Indiana,4real
1,Missouri,4thDistrict
1,Minnesota,503error
1,Arizona,50millionfaces
1,Pennsylvania,511pa
1,Minnesota,59seconds
1,Indiana,5words
1,"Rhode Island",610Connector
1,Alaska,6moreweeks
1,"Rhode Island",7News
1,Hawaii,808News
1,Kentucky,874K
1,Nevada,8NN
1,Colorado,9NEWS
1,Virginia,AAPIHeritageMonth
1,Arizona,aaps
1,Arizona,aar
1,Pennsylvania,AARP
1,California,AB492
1,California,ab908
1,Nebraska,ABADay
1,"South Carolina",Abbeville
1,Illinois,ABC
1,"North Carolina",ABCyahoo
1,Alaska,ABLEAct
1,Alaska,abortions
1,Arizona,AboutTime
1,"New Mexico",abq
1,Florida,ACATurns6
1,"South Carolina",ACC
1,"South Carolina",accessjournalism
1,Nebraska,accountability
1,Florida,ACCTourney
1,Alabama,ACD2016
1,Tennessee,AcelaPrimary
1,Florida,ACLU
1,Wisconsin,Act10
1,Wisconsin,ActForWomen
1,Maryland,actionsnotwords
1,"New York",actuallyselfishfriend
1,California,AD31
1,Nevada,AD9
1,Vermont,ADK
1,Nevada,AdministrativeProfessionalsDay
1,Pennsylvania,AdoptDontShop
1,Arizona,adoption
1,"Rhode Island",AEP
1,"South Dakota",AFCChampionship
1,Connecticut,AffirmativeConsent
1,Colorado,affordablehousing
1,Connecticut,AffordtoDream
1,Michigan,AFT
1,Colorado,Ag
1,Colorado,agfeedstheworld
1,California,aginggracefully
1,Missouri,AGMOForum
1,Texas,ahcj
1,Texas,ahcj2016
1,Illinois,AHHHHHHHH
1,Nevada,aholery
1,Ohio,Ajax
1,Alaska,AK
1,Pennsylvania,AKAday
1,Alaska,akbudget
1,Pennsylvania,AKC
1,Alaska,AKcaucus
1,Alaska,akearthquake
1,Alaska,akeg
1,Alaska,AKfuture
1,Alaska,AKFuzzyBuds
1,Alaska,AKgov
1,Alaska,AKlef
1,Alaska,AKleg
1,Alaska,AKLNG
1,Alaska,akquake
1,Alaska,aksen
1,Alaska,AKSOS
1,Alaska,AKSOTS
1,Alaska,AKvotes
1,Alaska,akwx
1,Pennsylvania,AL
1,Colorado,Alamosa
1,Alaska,Alaska
1,Alaska,Alaskans
1,Alaska,AlaskaProblems
1,"New York",Albany
1,"New York",Albanytincupday
1,"New Mexico",albuquerque
1,Colorado,alcohol
1,California,ALD
1,"West Virginia",ALEC
1,Alabama,ALInnovativeschools
1,California,alisocanyon
1,Alaska,alkeg
1,Alaska,AllAboutThe
1,Alaska,AllAboutTheBudget
1,Florida,allabouttheU
1,"Rhode Island",Alleged
1,Pennsylvania,AlleghenyCo
1,Nevada,allhandsondeck
1,Colorado,allin
1,Iowa,AllInForJeb
1,Maryland,allthumbs
1,Nebraska,almostsesquicentennial
1,Georgia,Alpharetta
1,Alabama,alpolitics
1,Alabama,alpoltics
1,Alabama,ALprisons
1,"Rhode Island",alternative
1,California,AltFuel
1,Florida,alumniweekend
1,Arizona,alwaysprepared
1,Arizona,AmendmentFilibuster
1,"West Virginia",AmEnergyAgenda
1,Nebraska,america
1,Minnesota,American
1,Michigan,AmericanHeartMonth
1,Louisiana,AmericanHero
1,California,Americascollegepromise
1,Michigan,AmirHekmati
1,Pennsylvania,amwriting
1,Tennessee,AmyBrenneman
1,Alaska,Anchorage
1,Alaska,ANCvotes
1,Colorado,AndOtherUnbelievableNews
1,Nevada,AngerPunch
1,Wisconsin,anglingpuns
1,Florida,angrybingewatcher
1,Pennsylvania,animalfarm
1,Mississippi,animalhouse
1,Pennsylvania,AnimalRights
1,Iowa,ankeny13
1,Michigan,AnnArbor
1,Michigan,AnneArbor
1,"New York",anniversary
1,Michigan,ANRWeek
1,Colorado,AntoninScalia
1,Virginia,APAHM
1,"New Mexico",APD
1,Pennsylvania,apex
1,Ohio,apforum2016
1,California,APIHeritage
1,Florida,Apollo1
1,"Rhode Island",Appalling
1,"South Carolina",apple
1,Wisconsin,apprenticeships
1,California,appropriations
1,Louisiana,AprilFools
1,Ohio,AprilFoolsDay
1,"New Mexico",APS
1,Oregon,ArborDay
1,"Rhode Island",Archaeology
1,Arizona,aretheyatthesamemeeting
1,Alabama,arisevision
1,Colorado,Armenian
1,Nevada,Art3Sec3
1,Texas,ArtOfTheDeal
1,California,artsed
1,"North Carolina",ArtsEducation
1,Indiana,ARWSGIS
1,Nebraska,Ashford16
1,Iowa,askbroadcity
1,Maryland,AskDistrict6
1,Michigan,AskFlint
1,Arizona,AskFrankPratt
1,Nevada,AskHeidi
1,"Rhode Island",AskHim20TimesADay
1,Pennsylvania,AskPaSenateDems
1,Virginia,Askthe
1,Wyoming,assetforfeiture
1,Indiana,AStateThatWorks
1,Ohio,Asthma
1,"New Jersey",AsthmaAwarenessMonth
1,Arizona,ASU
1,Arizona,asudayatthecapitol
1,Pennsylvania,ASW2016
1,Georgia,ATL
1,Georgia,Atlanta
1,Georgia,atltraffic
1,"South Carolina",Atown
1,Michigan,ATT
1,Arizona,AtTheSpeedOfBusiness
1,Colorado,aurora
1,Pennsylvania,AutismAwarenessMonth
1,Michigan,auto
1,Maine,autocorrectstinks
1,Wisconsin,Avery
1,Pennsylvania,avianflu
1,Washington,aviation
1,"North Carolina",avlnews
1,Florida,awakefl
1,Ohio,AwarenessMonth
1,Maine,awesome
1,Missouri,Awkward
1,Arizona,AZ
1,Arizona,AZ01
1,Arizona,AZ02
1,Arizona,AZ07
1,Arizona,AZBackwards
1,Arizona,AZBudget
1,Arizona,AZCardinals
1,Arizona,azcouncil
1,Arizona,azelections
1,Arizona,AZForward
1,Arizona,AZGOP
1,Arizona,AZHorizon
1,Arizona,azhouse
1,Arizona,AZHouseDems
1,Arizona,azleg
1,Arizona,AZontherise
1,Arizona,azpolitics
1,Arizona,AZPrimary
1,Arizona,azright
1,Arizona,azsos
1,Arizona,azsots
1,Arizona,azstem2016
1,Arizona,AZVOTES
1,Arizona,AZvsCAR
1,Kentucky,B25
1,Missouri,BabyElChapo
1,Arizona,babyorsinedie
1,Michigan,backward
1,Alaska,bacontaco
1,"West Virginia",bad4wv
1,Washington,badname
1,"North Carolina",BadSessions
1,Ohio,BalanceofPower
1,Washington,bandname
1,Wisconsin,Barack
1,Connecticut,BarackObama
1,"South Carolina",Barber
1,California,BART
1,Louisiana,baseballanalogies
1,Pennsylvania,basiced
1,Michigan,bathroom
1,Nevada,battleborn
1,Missouri,battletested
1,Wisconsin,Baughman
1,Nebraska,BAXTER
1,Arizona,BDS
1,Arizona,BDSFAIL
1,Kansas,beachread
1,Iowa,BearDen
1,Arizona,BearDown
1,"South Carolina",Bears
1,Colorado,BeatThePatriots
1,Colorado,BeatTheSteelers
1,Nebraska,BeautifulNebraska
1,Louisiana,beavoter
1,Nebraska,beboldgetcold
1,Maryland,becausetheycan
1,Indiana,BedfordChamber
1,Michigan,Beecher
1,Washington,beefawakens
1,Washington,beefday2016
1,Michigan,BeepYouChuckTodd
1,Colorado,beercaucus
1,Connecticut,bees
1,Arizona,BegayforCongress
1,Indiana,BehindTheScenes
1,Florida,Belike
1,Alaska,BeLikeMax
1,Wisconsin,Beloit
1,Alaska,Benchists
1,Colorado,Benghazi
1,"North Carolina",benghazihumor
1,Nebraska,Benson
1,Tennessee,BerettaTN
1,Florida,berned
1,Vermont,Bernie2016
1,Pennsylvania,Bernieblurb
1,Idaho,BernieinBoise
1,Vermont,BernieSandwiches
1,Pennsylvania,Berniesfinger
1,Maine,BerryAmendment
1,Mississippi,BertCase
1,"Rhode Island",BeTheChange
1,"North Carolina",betterblamebob
1,Washington,betterlatethannever
1,Kentucky,BevinSOTC
1,Georgia,Beyhive
1,Florida,Beyonce
1,Texas,BezosBurntOrange
1,Vermont,BFPTheTable
1,Pennsylvania,BHM2016
1,Nebraska,Big
1,Wyoming,bigbrother
1,Alaska,bigdeal
1,California,BigDoG2016
1,Arizona,biggirl
1,Florida,bigoTED
1,Texas,bikefw
1,Arizona,Biliteracy
1,"Rhode Island",BillClinton
1,Colorado,BillCosby
1,Mississippi,Biloxi
1,Alaska,bingewatching
1,"New York",Binghamton
1,Arizona,bipartisanbesties
1,Arizona,Birdgang
1,Florida,BirthdayGreetings
1,Alaska,birthofabudget
1,Wyoming,bitcoin
1,Colorado,bitethehand
1,Pennsylvania,bizwriting
1,Pennsylvania,BlackPanthersPBS
1,California,BlackWomenLead
1,California,BlackWomenVote
1,Arizona,BlamesTheHouse
1,Pennsylvania,blazeatrail
1,Connecticut,BleedBlue
1,Kansas,blitzkriegbop
1,Colorado,blm
1,Wisconsin,blockparty
1,Illinois,blossom
1,Nebraska,Bluebarn
1,Nebraska,bluemarble
1,"North Carolina",blueprintNC
1,Tennessee,BlueRaiders
1,Washington,bluesky
1,Texas,bluesteel
1,Minnesota,boardlist
1,"North Carolina",BOE
1,Alaska,Bold
1,Wyoming,bondage
1,Nebraska,bonebroth
1,Kansas,BonovsTrump
1,Maine,boo
1,Nevada,Bookfest
1,Colorado,boom
1,Pennsylvania,bootsonfire
1,Colorado,BOP
1,Arizona,BorderStrikeTaskForce
1,Massachusetts,bospoli
1,Colorado,BoulderCounty
1,Florida,Bradenton
1,"South Carolina",Brady
1,Florida,bragging
1,Pennsylvania,BrainTumorAwarenessMonth
1,"North Carolina",brand
1,"Rhode Island",BrandingBell
1,Connecticut,Branford
1,Missouri,Branson
1,Georgia,Breakdown
1,Florida,BreastCancerVaccines
1,"Rhode Island",bridgerepairs
1,"Rhode Island",Bridges
1,Alaska,BriefAtEase
1,California,BringBackTheBees
1,Arizona,BringBackthePress
1,Washington,BringWAhome
1,Washington,BringWAhomeAct
1,Washington,bringwashingtonhome
1,Pennsylvania,bringyourkidtoworkday
1,Kansas,Britain
1,Iowa,Broadway
1,Indiana,BroHugs
1,Colorado,BroncosCountry
1,Colorado,BroncosCountryPlayoffs
1,Colorado,broncospride
1,Georgia,Brookhaven
1,Virginia,BrownAndBlackForum
1,Kentucky,Brussell
1,Nebraska,brusselsairport
1,Wisconsin,Bruxelles
1,Vermont,bsdvt
1,Colorado,BTTF
1,Vermont,BTV
1,Vermont,btvcc
1,Vermont,btvtrump
1,Wisconsin,Bucks
1,Alaska,budgetbudgetbudget
1,Arizona,BudgetNugget
1,"Rhode Island",budgetseason
1,Arizona,budgetwaitdoldrums
1,Arizona,budgetwatch
1,Illinois,budlightparty
1,Michigan,Budweiser
1,"New York",buffalo
1,"New York",BuffaloBillion
1,Wisconsin,buglesnotbellows
1,California,BugLife
1,Illinois,BuildFFA
1,California,BuildHealthySac
1,"Rhode Island",BullyTactics
1,"Rhode Island",Bunker
1,Colorado,Burlington
1,Colorado,business
1,Maine,butfirstsleep
1,Illinois,butreallythereis
1,Idaho,butthatsnoneofmybusiness
1,Maine,butwaittheresmore
1,Connecticut,butwherearethemaplemilkshakes
1,Massachusetts,BVCC
1,Arizona,ByeArpaio
1,"North Carolina",ByeFelicia
1,Florida,bypartisantruth
1,California,CA
1,California,CA2016
1,California,CA2018
1,California,CABudget
1,California,CAbusinesses
1,Colorado,caccs
1,Maine,CACFP
