screen_name,state,URLs
indgop,Indiana,"http://player.liquidcompass.net/WIBCFM,http://bit.ly/1nq3FaK,http://indy.st/1PVsRMI,http://indgop.org/join-your-county-party,http://ow.ly/i/fWwgs,http://rokita.house.gov/press-release/rokita-opposes-obama%E2%80%99s-unconstitutional-assault-second-amendment,http://bit.ly/1Oe6MLl,http://on.fb.me/1JysdrU,http://indy.st/1OUqonW,http://bit.ly/1JTVkjZ,http://www.wowo.com/ListenLive.aspx,http://bit.ly/1SKxv6o,http://www.indiana.gop,http://ow.ly/i/fWzxZ,http://bit.ly/1OdCB4C,https://es.adobeconnect.com/_a1016770306/indiana/?launcher=false,http://roll.cl/1SxTZqf,http://bit.ly/20gKuxT,http://ow.ly/i/fPd6g,https://rokita.house.gov/press-release/rokita-addresses-indiana-general-assembly,http://indy.st/1mYEivY,http://www.insideindianabusiness.com/story/31082632/visit-indy-reports-record-tourism-numbers#.VqtxXGXm1WU.twitter,http://bucshon.house.gov/press-release/dr-bucshon-responds-sotu-0,http://bit.ly/1JajUuZ,http://on.fb.me/1HwZDQX,http://bit.ly/1Z8PF60,http://indy.st/1PJeAXS,http://bit.ly/1KYiQ2b,https://twitter.com/ind"
JebBush,na,"https://cards.twitter.com/cards/1vb0ck/1bxbn,http://jeb.cm/1JcwK34,http://jeb.cm/1KwXkPw,https://amp.twimg.com/v/6d90faad-25ee-4f83-a9ce-568e358db616,http://jeb.cm/1Z2jtkF,https://amp.twimg.com/v/0656c091-2d9c-4f7e-a3ea-37c7c83b32f1,http://jeb.cm/1Z2jAfV,https://amp.twimg.com/v/184bb0d5-2e1b-4106-93d1-8835a7834d66,https://cards.twitter.com/cards/1vb0ck/1dbbd,http://nyti.ms/1N3NVPa,https://amp.twimg.com/v/d30c242b-2d49-40ad-b0ff-3103302c989b,https://amp.twimg.com/v/db865ffa-83ac-4a18-922d-1b4509904127,http://jeb.cm/1Pe3k79,http://bbc.in/1O4rj50,https://amp.twimg.com/v/175fad70-f93d-48e2-a863-d5d84be9362c,https://amp.twimg.com/v/66b68cb3-6796-4250-9b91-535a258594b7,https://amp.twimg.com/v/9062a7ee-bb88-4efd-acba-d490d8394d43,http://on.wsj.com/1SoWJWU,http://jeb.cm/1JlfbgY,http://on.wsj.com/1VcoReM,https://amp.twimg.com/v/410731db-ca53-41bb-b2a1-0d843668b678,https://twitter.com/BulldogsforJeb/status/692533984018980864,https://amp.twimg.com/v/644549a7-f800-4e50-8688-df4dba797da2,https://amp.twimg.com/v/f88cb0f8-b"
JohnKasich,na,"https://johnkasich.com/blog-posts/endorsement-the-boston-globe-supports-john-kasich-for-president/,http://JohnKasich.com,https://twitter.com/tuohy/status/688019555831144452,http://WinOhioStopHillary.com,http://JohnKasich.com/DesMoinesDebate,https://johnkasich.com/resultsnow/,http://www.bostonglobe.com/opinion/editorials/2016/01/25/republicans-should-vote-for-john-kasich-new-hampshire/alUwyPAaf0llfdbB0jwDmN/story.html?event=event25,https://amp.twimg.com/v/6fcff3b6-624e-45f9-8855-06e7012d093f,https://twitter.com/MaryTaylorOH/status/693084491640864768,http://JohnKasich.com/App,https://johnkasich.com/blog-posts/fifth-poll-shows-john-kasich-second-in-new-hampshire/,https://www.youtube.com/watch?v=60cKLsmyiwM,https://johnkasich.com/blog-posts/iowa-letter-to-the-editor-support-kasich-to-tackle-challenges/,http://thehill.com/policy/energy-environment/257078-kasich-energy-plan-would-repeal-obama-rules-boost-drilling,http://SinkingJeb.com,https://johnkasich.com/blog-posts/the-new-york-times-with-calm-and-experience-joh"
KansasSenateGOP,Kansas,"http://www.therepublic.com/view/story/d2beb395c7ff43d8842c3ceab9e57869/KS--Legislature-Opening-Day,http://kansas.gov,http://www.kansansforjustice.com,http://www.morningsun.net/news/20160122/law-would-require-local-vote-on-taxes,http://www.kslegresearch.org/KLRD-web/Publications/AppropriationsRevenue/KansasStatewideEfficiencyInterimRpt2016Jan12.pdf"
KYSenateGOP,Kentucky,"https://twitter.com/ekucommunities/status/692445060701515777,http://www.lrc.ky.gov/legislative_calendar/index.aspx,http://www.ket.org/legislature/?legislation=senate&autoplay=true,https://www.facebook.com/media/set/?set=a.999522116787439.1073741991.428596363880020&type=3,http://ket.org/legislature,https://twitter.com/adambeam/status/684389372523855872,http://bit.ly/1RRwdF4,https://m.facebook.com/story.php?story_fbid=1691579921087649&id=1691316904447284&_rdr,http://bit.ly/CapitolConnection,https://twitter.com/mycn2/status/687737545967271936,http://ket.org/live,https://twitter.com/RylandKY/status/692435273364475907,https://kysenategop.wordpress.com/2016/01/30/senator-robert-stivers-on-the-passing-of-georgia-powers/,https://www.facebook.com/media/set/?set=a.993982217341429.1073741990.428596363880020&type=3,https://kysenategop.wordpress.com/2016/01/21/kentucky-senate-cancels-january-22-session-due-to-winter-storm-jonas/,http://www.ket.org/legislature/,https://twitter.com/kytonightket/status/684190862637674497,htt"
lagop,Louisiana,"http://www.lagop.com/blog/2016/1/13/edwards-medicaid-expansion-is-bad-fiscal-and-health-care-policy,http://thehayride.com/2016/01/fail-not-only-did-john-bel-edwards-lie-about-who-gets-the-credit-for-fixing-i-10-in-baton-rouge-he-lied-about-every-aspect-of-the-story/,https://twitter.com/MelindaDeslatte/status/692470661684535296,http://www.lagop.com/blog/2016/1/8/become-a-delegate-to-the-2016-rnc-national-convention,http://theadvocate.com/news/14688093-93/louisiana-gov-john-bel-edwards-keeps-bobby-jindal-era-salaries-he-criticized-as-exorbitant,http://taxfoundation.org/article/state-and-local-sales-tax-rates-2015,https://twitter.com/lapoliticsnow/status/690959488497614848,http://www.lagop.com/blog/2016/1/19/hillary-clintion-cashing-in-on-landrieu-favors,http://klfy.com/2015/12/30/dardenne-raising-taxes-among-options-to-fix-louisianas-budget-crisis/,http://thehayride.com/2016/01/john-bel-edwards-dhh-secretary-is-absolutely-awful-and-her-appointment-shows-he-lied-during-his-campaign/,http://www.lagop.com/blog/201"
mainegop,Maine,"https://twitter.com/reppoliquin/status/686616769151299584,http://www.mainegop.com/irresponsible-emily-how-emily-cains-past-rhetoric-about-iran-deal-proves-her-position-was-irresponsible/#.VqZY4ohse-o.twitter,http://bdn.to/wmqn,http://mainesenatepresident.com/emergency-drug-legislation-signed-into-law/,http://www.themainewire.com/2016/01/fight-heroin-epidemic/,http://mehousegop.org/2016/01/19/house-republican-leaders-statements-on-passage-of-drug-treatment-bill/,http://www.mainegop.com/shifty_shady/#.VpgNIhb0pvY.twitter,http://www.mainegop.com/chairmans-statement-on-passing-of-senator-lois-snowe-mello/#.VqZqaNrDS4o.twitter"
marcorubio,na,"http://rub.io/DsbvPY,http://rub.io/AzGoQ7,https://amp.twimg.com/v/29d8126c-1bcf-4031-a08f-337a8029cb1d,http://rub.io/G8mGnT,http://youtu.be/-V6qyi5gndM,http://youtu.be/Kd4UWid6PuI,https://youtu.be/2mP7iFIKSqA,https://amp.twimg.com/v/f38d30f4-9913-45a9-8d45-8fac5553bf6b,http://rub.io/zziwGG,http://rub.io/UfPJ7G,http://rub.io/KPP7tq,http://rub.io/uQrDcf,http://rub.io/yRb3vN,https://cards.twitter.com/cards/9dh7c/1bpzw,http://rub.io/evtPFw,http://rub.io/Dfujmv,http://rub.io/jLvaKh,https://amp.twimg.com/v/fe0dc308-d256-4d05-b7b5-b322fe6aa24d,http://rub.io/8k38q7,https://cash.me/$MarcoRubio,http://rub.io/tai1VM,http://rub.io/Jf99SY,https://amp.twimg.com/v/bb58345c-1613-4555-8d55-3d6b758ccc81,http://youtu.be/6nK60C4BqLo,http://rub.io/y6ENZ1,https://twitter.com/jaredsmall/status/687000414173044736,http://youtu.be/YRkhpv_Ru1Y,https://amp.twimg.com/v/0c3bfebb-1b11-4041-958c-d71a87ac5413,https://amp.twimg.com/v/84da057e-971c-4d4a-845d-71d74d690a1d,http://rub.io/HQfqPs,http://time.com/4165730/marco-rubio-gun-control/,htt"
massgop,Massachusetts,"http://www.bostonherald.com/opinion/editorials/2015/12/editorial_toast_to_local_control,http://www.eagletribune.com/opinion/editorial-rubio-is-the-best-choice-in-new-hampshire-primary/article_992837e3-fdf1-5ed9-95fe-91cd26cc02f7.html,http://www.bostonherald.com/opinion/editorials/2016/01/editorial_beast_that_must_be_tamed,http://bit.ly/1NkrrJN,https://twitter.com/PatriotLedger/status/684035622533599232,http://www.massgop.com/medical_device,https://www.bostonglobe.com/news/politics/2016/01/28/even-for-baker-these-poll-numbers-were-high/yH9DykNHOaun76PERXmyRK/story.html,http://www.thesunchronicle.com/news/local_news/kevin-dumas-prepares-for-act-as-attleboro-s-mayor/article_4a94a482-bb8f-5e0f-a713-d5049932a27a.html,http://www.bostonherald.com/radioplayer/,https://gop.com/democrats-once-praised-ig-clinton-is-smearing/,https://twitter.com/MassGovernor/status/687003049605349381,http://www.patriotledger.com/article/20160104/NEWS/160108854,https://www.youtube.com/watch?v=xDrFUKIYRr8,https://twitter.com/GOP/status/686"
mdsenategop,Maryland,http://fb.me/2lxSVFeCF
